Date,inflation
45289,1
45288,1
45287,1
45286,1
45282,1
45281,1
45280,1
45279,1
45278,1
45275,1
45274,1
45273,1
45272,1
45271,1
45268,1
45267,1
45266,1
45265,1
45264,1
45261,1
45260,1
45259,1
45258,1
45257,1
45254,1
45252,1
45251,1
45250,1
45247,1
45246,1
45245,1
45244,1
45243,1
45240,1
45239,1
45238,1
45237,1
45236,1
45233,1
45232,1
45231,1
45230,1
45229,1
45226,1
45225,1
45224,1
45223,1
45222,1
45219,1
45218,1
45217,1
45216,1
45215,1
45212,1
45211,1
45210,1
45209,1
45205,1
45204,1
45203,1
45202,1
45201,1
45198,1
45197,1
45196,1
45195,1
45194,1
45191,1
45190,1
45189,1
45188,1
45187,1
45184,1
45183,1
45182,1
45181,1
45180,1
45177,1
45176,1
45175,1
45174,1
45170,1
45169,1
45168,1
45167,1
45166,1
45163,1
45162,1
45161,1
45160,1
45159,1
45156,1
45155,1
45154,1
45153,1
45152,1
45149,1
45148,1
45147,1
45146,1
45145,1
45142,1
45141,1
45140,1
45139,1
45138,1
45135,1
45134,1
45133,1
45132,1
45131,1
45128,1
45127,1
45126,1
45125,1
45124,1
45121,1
45120,1
45119,1
45118,1
45117,1
45114,1
45113,1
45112,1
45110,1
45107,1
45106,1
45105,1
45104,1
45103,1
45100,1
45099,1
45098,1
45097,1
45093,1
45092,1
45091,1
45090,1
45089,1
45086,1
45085,1
45084,1
45083,1
45082,1
45079,1
45078,1
45077,1
45076,1
45072,1
45071,1
45070,1
45069,1
45068,1
45065,1
45064,1
45063,1
45062,1
45061,1
45058,1
45057,1
45056,1
45055,1
45054,1
45051,1
45050,1
45049,1
45048,1
45047,1
45044,1
45043,1
45042,1
45041,1
45040,1
45037,1
45036,1
45035,1
45034,1
45033,1
45030,1
45029,1
45028,1
45027,1
45026,1
45023,1
45022,1
45021,1
45020,1
45019,1
45016,1
45015,1
45014,1
45013,1
45012,1
45009,1
45008,1
45007,1
45006,1
45005,1
45002,1
45001,1
45000,1
44999,1
44998,1
44995,1
44994,1
44993,1
44992,1
44991,1
44988,1
44987,1
44986,1
44985,1
44984,1
44981,1
44980,1
44979,1
44978,1
44974,1
44973,1
44972,1
44971,1
44970,1
44967,1
44966,1
44965,1
44964,1
44963,1
44960,1
44959,1
44958,1
44957,1
44956,1
44953,1
44952,1
44951,1
44950,1
44949,1
44946,1
44945,1
44944,1
44943,1
44939,1
44938,1
44937,1
44936,1
44935,1
44932,1
44931,1
44930,1
44929,1
44925,1
44924,1
44923,1
44922,1
44918,1
44917,1
44916,1
44915,1
44914,1
44911,1
44910,1
44909,1
44908,1
44907,1
44904,1
44903,1
44902,1
44901,1
44900,1
44897,1
44896,1
44895,1
44894,1
44893,1
44890,1
44888,1
44887,1
44886,1
44883,1
44882,1
44881,1
44880,1
44879,1
44875,1
44874,1
44873,1
44872,1
44869,1
44868,1
44867,1
44866,1
44865,1
44862,1
44861,1
44860,1
44859,1
44858,1
44855,1
44854,1
44853,1
44852,1
44851,1
44848,1
44847,1
44846,1
44845,1
44841,1
44840,1
44839,1
44838,1
44837,1
44834,1
44833,1
44832,1
44831,1
44830,1
44827,1
44826,1
44825,1
44824,1
44823,1
44820,1
44819,1
44818,1
44817,1
44816,1
44813,1
44812,1
44811,1
44810,1
44806,1
44805,1
44804,1
44803,1
44802,1
44799,1
44798,1
44797,1
44796,1
44795,1
44792,1
44791,1
44790,1
44789,1
44788,1
44785,1
44784,1
44783,1
44782,1
44781,1
44778,1
44777,1
44776,1
44775,1
44774,1
44771,1
44770,1
44769,1
44768,1
44767,1
44764,1
44763,1
44762,1
44761,1
44760,1
44757,1
44756,1
44755,1
44754,1
44753,1
44750,1
44749,1
44748,1
44747,1
44743,1
44742,1
44741,1
44740,1
44739,1
44736,1
44735,1
44734,1
44733,1
44729,1
44728,1
44727,1
44726,1
44725,1
44722,1
44721,1
44720,1
44719,1
44718,1
44715,1
44714,1
44713,1
44712,1
44708,1
44707,1
44706,1
44705,1
44704,1
44701,1
44700,1
44699,1
44698,1
44697,1
44694,1
44693,1
44692,1
44691,1
44690,1
44687,1
44686,1
44685,1
44684,1
44683,1
44680,1
44679,1
44678,1
44677,1
44676,1
44673,1
44672,1
44671,1
44670,1
44669,1
44665,1
44664,1
44663,1
44662,1
44659,1
44658,1
44657,1
44656,1
44655,1
44652,1
44651,1
44650,1
44649,1
44648,1
44645,1
44644,1
44643,1
44642,1
44641,1
44638,1
44637,1
44636,1
44635,1
44634,1
44631,1
44630,1
44629,1
44628,1
44627,1
44624,1
44623,1
44622,1
44621,1
44620,1
44617,1
44616,1
44615,1
44614,1
44610,1
44609,1
44608,1
44607,1
44606,1
44603,1
44602,1
44601,1
44600,1
44599,1
44596,1
44595,1
44594,1
44593,1
44592,1
44589,1
44588,1
44587,1
44586,1
44585,1
44582,1
44581,1
44580,1
44579,1
44575,1
44574,1
44573,1
44572,1
44571,1
44568,1
44567,1
44566,1
44565,1
44564,1
44561,1
44560,1
44559,1
44558,1
44557,1
44553,1
44552,1
44551,1
44550,1
44547,1
44546,1
44545,1
44544,1
44543,1
44540,1
44539,1
44538,1
44537,1
44536,1
44533,1
44532,1
44531,1
44530,1
44529,1
44526,1
44524,1
44523,1
44522,1
44519,1
44518,1
44517,1
44516,1
44515,1
44512,1
44510,1
44509,1
44508,1
44505,1
44504,1
44503,1
44502,1
44501,1
44498,1
44497,1
44496,1
44495,1
44494,1
44491,1
44490,1
44489,1
44488,1
44487,1
44484,1
44483,1
44482,1
44481,1
44477,1
44476,1
44475,1
44474,1
44473,1
44470,1
44469,1
44468,1
44467,1
44466,1
44463,1
44462,1
44461,1
44460,1
44459,1
44456,1
44455,1
44454,1
44453,1
44452,1
44449,1
44448,1
44447,1
44446,1
44442,1
44441,1
44440,1
44439,1
44438,1
44435,1
44434,1
44433,1
44432,1
44431,1
44428,1
44427,1
44426,1
44425,1
44424,1
44421,1
44420,1
44419,1
44418,1
44417,1
44414,1
44413,1
44412,1
44411,1
44410,1
44407,1
44406,1
44405,1
44404,1
44403,1
44400,1
44399,1
44398,1
44397,1
44396,1
44393,1
44392,1
44391,1
44390,1
44389,1
44386,1
44385,1
44384,1
44383,1
44379,1
44378,1
44377,1
44376,1
44375,1
44372,1
44371,1
44370,1
44369,1
44368,1
44365,1
44364,1
44363,1
44362,1
44361,1
44358,1
44357,1
44356,1
44355,1
44354,1
44351,1
44350,1
44349,1
44348,1
44344,1
44343,1
44342,1
44341,1
44340,1
44337,1
44336,1
44335,1
44334,1
44333,1
44330,1
44329,1
44328,1
44327,1
44326,1
44323,1
44322,1
44321,1
44320,1
44319,1
44316,1
44315,1
44314,1
44313,1
44312,1
44309,1
44308,1
44307,1
44306,1
44305,1
44302,1
44301,1
44300,1
44299,1
44298,1
44295,1
44294,1
44293,1
44292,1
44291,1
44288,1
44287,1
44286,1
44285,1
44284,1
44281,1
44280,1
44279,1
44278,1
44277,1
44274,1
44273,1
44272,1
44271,1
44270,1
44267,1
44266,1
