Date,retail_sales,industrial_prod,headline_cpi,core_cpi,pce_deflator,core_pce_deflator,michigan_consumer,chicago_activity,ur,participation_rate,Nonfarm Payrolls,Private Nonfarm Payrolls,PCE Core Services Excluding Housing,cleveland_median_pce,nfp_diff,private_nfp_diff,nfp_diff_rm,nfp_diff_sd,nfp_diff_zscore5y,private_nfp_diff_rm,private_nfp_diff_sd,private_nfp_diff_zscore5y,ur_rm,ur_sd,ur_zscore5y,michigan_consumer_rm,michigan_consumer_sd,michigan_consumer_zscore5y,chicago_activity_rm,chicago_activity_sd,chicago_activity_zscore5y,industrial_prod_rm,industrial_prod_sd,industrial_prod_zscore5y,retail_sales_rm,retail_sales_sd,retail_sales_zscore5y,retail_sales_yy,retail_sales_6m_ann,retail_sales_3m_ann,retail_sales_mm,industrial_prod_yy,industrial_prod_6m_ann,industrial_prod_3m_ann,industrial_prod_mm,headline_cpi_yy,headline_cpi_6m_ann,headline_cpi_3m_ann,headline_cpi_mm,core_cpi_yy,core_cpi_6m_ann,core_cpi_3m_ann,core_cpi_mm,pce_deflator_yy,pce_deflator_6m_ann,pce_deflator_3m_ann,pce_deflator_mm,core_pce_deflator_yy,core_pce_deflator_6m_ann,core_pce_deflator_3m_ann,core_pce_deflator_mm
36542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36571,247133,91.7357,169.8,179.5,73.191,74.415,111.3,0.18,4.1,67.3,131120,110521,,2.785583925,111,83,,,,,,,,,,,,,,,,,,,,,,,,,1.52,,,,0.34,,,,0.59,,,,0.39,,,,0.32,,,,0.15
36572,247133,91.7357,169.8,179.5,73.191,74.415,111.3,0.18,4.1,67.3,131120,110521,,2.785583925,111,83,,,,,,,,,,,,,,,,,,,,,,,,,1.52,,,,0.34,,,,0.59,,,,0.39,,,,0.32,,,,0.15
36573,247133,91.7357,169.8,179.5,73.191,74.415,111.3,0.18,4.1,67.3,131120,110521,,2.785583925,111,83,,,,,,,,,,,,,,,,,,,,,,,,,1.52,,,,0.34,,,,0.59,,,,0.39,,,,0.32,,,,0.15
36574,247133,91.7357,169.8,179.5,73.191,74.415,111.3,0.18,4.1,67.3,131120,110521,,2.785583925,111,83,,,,,,,,,,,,,,,,,,,,,,,,,1.52,,,,0.34,,,,0.59,,,,0.39,,,,0.32,,,,0.15
36577,247133,91.7357,169.8,179.5,73.191,74.415,111.3,0.18,4.1,67.3,131120,110521,,2.785583925,111,83,,,,,,,,,,,,,,,,,,,,,,,,,1.52,,,,0.34,,,,0.59,,,,0.39,,,,0.32,,,,0.15
