Date,sp500,nasdaq,ftse,dax,usd_index,vix
36528,100.2200012,6665.899902,6750.759766,1455.219971,4131.149902,24.20999908
36529,100.4100037,6665.899902,6586.950195,1399.420044,3901.689941,27.01000023
36530,100.3799973,6535.899902,6502.069824,1402.109985,3877.540039,26.40999985
36531,100.6500015,6447.200195,6474.919922,1403.449951,3727.129883,25.72999954
36532,100.8000031,6504.799805,6780.959961,1441.469971,3882.620117,21.71999931
36535,100.9899979,6607.700195,6925.52002,1457.599976,4049.669922,21.70999908
36536,100.5599976,6518.899902,6891.25,1438.560059,3921.189941,22.5
36537,100.6200027,6532.799805,6912.810059,1432.25,3850.02002,22.84000015
36538,101,6531.5,6955.97998,1449.680054,3957.209961,21.70999908
36539,101.7200012,6658.200195,7173.220215,1465.150024,4064.27002,19.65999985
36542,102.0500031,6669.5,7258.899902,,,
36543,101.8600006,6504.600098,7072.120117,1455.140015,4130.810059,21.5
36544,101.7600021,6445.5,7091.040039,1455.900024,4151.290039,21.71999931
36545,101.3600006,6348.700195,7112.660156,1445.569946,4189.509766,21.75
36546,101.7600021,6346.299805,6992.75,1441.359985,4235.399902,20.81999969
36549,102.1999969,6379.799805,6931.990234,1401.530029,4096.080078,24.06999969
36550,102.4100037,6274.100098,6809.640137,1410.030029,4167.410156,23.02000046
36551,102.4400024,6375.600098,6969.370117,1404.089966,4069.909912,23.03000069
36552,103.1699982,6441,7126.129883,1398.560059,4039.560059,23.54000092
36553,104.4800034,6375.600098,7066.600098,1360.160034,3887.070068,26.13999939
36556,105.1299973,6268.5,6835.600098,1394.459961,3940.350098,24.95000076
36557,104.9199982,6290.899902,7050.459961,1409.280029,4051.97998,23.45000076
36558,104.7900009,6302.799805,7171.950195,1409.119995,4073.959961,23.12000084
36559,103.8000031,6324.299805,7354.259766,1424.969971,4210.97998,22.01000023
36560,104.2900009,6185,7444.609863,1424.369995,4244.140137,21.54000092
36563,104.6399994,6118.600098,7296.319824,1424.23999,4321.77002,22.79000092
36564,104.2200012,6285.799805,7549.879883,1441.719971,4427.5,21.25
36565,103.6800003,6315.399902,7629.109863,1411.709961,4363.240234,22.89999962
36566,104.1299973,6279.799805,7709.27002,1416.829956,4485.629883,23.06999969
36567,104.1900024,6193.299805,7611.549805,1387.119995,4395.450195,24.42000008
36570,104.7200012,6068.600098,7644.799805,1389.939941,4418.549805,24.37999916
36571,104.6900024,6005.200195,7396.129883,1402.050049,4420.77002,22.92000008
36572,104.2799988,6147.399902,7490.319824,1387.670044,4427.649902,23.51000023
36573,104.2699966,6209.299805,7580.529785,1388.26001,4548.919922,23.17000008
36574,104.6299973,6165,7573.779785,1346.089966,4411.740234,26
36577,104.5800018,6081.600098,7590.529785,,,
36578,103.2799988,6014.700195,7607.939941,1352.170044,4382.120117,25.86000061
36579,103.5299988,6144.100098,7698.970215,1360.689941,4550.330078,23.88999939
36580,104.0100021,6086.700195,7640.529785,1353.430054,4617.649902,24.37999916
36581,105.2600021,6198,7738.680176,1333.359985,4590.5,25.20000076
36584,105.2699966,6099.600098,7587.129883,1348.050049,4577.850098,24.68000031
36585,105.9199982,6232.600098,7644.549805,1366.420044,4696.689941,23.37000084
36586,104.8899994,6364.899902,7727.930176,1379.189941,4784.080078,21.63999939
36587,105.6500015,6432.100098,7945.77002,1381.76001,4754.509766,21.05999947
36588,106,6487.5,7960.029785,1409.170044,4914.790039,19.20999908
36591,106.1600037,6567.799805,7975.779785,1391.280029,4904.850098,21.5
36592,106.0899963,6466.5,8064.970215,1355.619995,4847.839844,24.30999947
36593,105.9300003,6411.200195,7987,1366.699951,4897.259766,23.81999969
36594,105.3700027,6532.100098,7949.149902,1401.689941,5046.859863,22.20999908
36595,105.7099991,6568.700195,7975.950195,1395.069946,5048.620117,21.23999977
36598,105.5,6466.899902,7693.850098,1383.619995,4907.240234,22.85000038
36599,105.3000031,6487.100098,7650.049805,1359.150024,4706.629883,24.40999985
36600,105.3799973,6447,7414.459961,1392.140015,4582.620117,22.34000015
36601,105.1800003,6557.299805,7583.959961,1458.469971,4717.390137,20.77000046
36602,105.1999969,6558,7710.919922,1464.469971,4798.129883,22.37000084
36605,105.1500015,6624.5,7872.379883,1456.630005,4610,22.95999908
36606,105.8099976,6617.899902,7807.930176,1493.869995,4711.680176,21.70000076
36607,106.0400009,6609.600098,7798.620117,1500.640015,4864.75,21.48999977
36608,105.2300034,6594.600098,7694.779785,1527.349976,4940.609863,22.26000023
36609,104.7699966,6738.5,7932.419922,1527.459961,4963.029785,23.30999947
36612,105.4499969,6687.200195,7892.490234,1523.859985,4958.560059,24.53000069
36613,105.5299988,6650.100098,7931.930176,1507.72998,4833.890137,24.86000061
36614,106.25,6598.799805,7864.759766,1508.52002,4644.669922,24.10000038
36615,105.4700012,6445.200195,7644.890137,1487.920044,4457.890137,25.46999931
36616,105.4400024,6540.200195,7599.390137,1498.579956,4572.830078,24.11000061
36619,105.5400009,6462.100098,7429.220215,1505.969971,4223.680176,24.03000069
36620,105.1699982,6427,7522.799805,1494.72998,4148.890137,27.12000084
36621,105.2900009,6379.299805,7330.77002,1487.369995,4169.220215,28.40999985
36622,105.5199966,6451.100098,7446.209961,1501.339966,4267.560059,27.14999962
36623,105.9700012,6569.899902,7522.200195,1516.349976,4446.450195,24.38999939
36626,105.6800003,6533.399902,7516.950195,1504.459961,4188.200195,25.98999977
36627,105.9400024,6379.200195,7442.660156,1500.589966,4055.899902,27.25
36628,105.9599991,6350.799805,7443.069824,1467.170044,3769.629883,28.97999954
36629,106.1399994,6357,7449.060059,1440.51001,3676.780029,29.39999962
